Monarch_ID,Plant_ID,Milkweed_species,Monarch_family,Monarch_sex,Caterpillar_proportion_black,Adult_percent_black,Adult_wingsize_mm2,Adult_wing_measured,Wing_aspect_ratio,Milkweed_cardenolide_category,Monarch_development_time_days,Monarch_growth_rate,Experiment_type
73A1_1_erosa_679,73A1_,A. erosa,RB4,F,0.21212121,0.691449954,950.1701427,right,1.9833954,high,23,41.31174533,greenhouse
73B_1_erosa,73B_1,A. erosa,UL4,NA,0.25598527,NA,NA,NA,NA,high,NA,NA,greenhouse
73B_2_erosa_104,73B_2,A. erosa,AT1,F,0.39834025,0.689880237,918.1773751,right,1.980930279,high,23,39.92075544,greenhouse
73B_2_erosa_105,73B_2,A. erosa,AT1,M,0.28842105,0.599674369,964.2131253,right,1.868617645,high,23,41.9223098,greenhouse
78B_2_erosa_34,78B_2,A. erosa,UL1,M,NA,0.615103916,909.5393996,right,1.887698678,high,22,41.34269998,greenhouse
15_1_fasc,15_1_,A. fascicularis,RB1,NA,0.37132353,NA,NA,NA,NA,low,NA,NA,greenhouse
18_1_fasc_99,18_1_,A. fascicularis,EJ7,M,0.24280576,0.596121043,953.9550813,right,1.933884774,low,21,45.42643244,greenhouse
205_1_fasc_450,205_1,A. fascicularis,EJ4,F,0.60532151,NA,NA,NA,NA,low,21,NA,greenhouse
206_1_fasc_79,206_1,A. fascicularis,AT1,M,0.36881188,0.61526547,879.3459116,right,1.96439254,low,22,39.97026871,greenhouse
23B_1_fasc_80,23B_1,A. fascicularis,AT1,F,0.23452158,0.745691237,957.0375124,left,1.935108673,low,22,43.50170511,greenhouse
23B_2_fasc_404,23B_2,A. fascicularis,RB4,M,NA,0.629500263,1022.040967,left,1.828253099,low,25,40.88163868,greenhouse
23B_4_fasc,23B_4,A. fascicularis,RB1,NA,0.29084381,NA,NA,NA,NA,low,NA,NA,greenhouse
23b_6_fasc,23b_6,A. fascicularis,EJ7,NA,0.33988212,NA,NA,NA,NA,low,NA,NA,greenhouse
31_2_fasc,31_2_,A. fascicularis,UL4,F,0.28822496,NA,NA,NA,NA,low,NA,NA,greenhouse
31_4_fasc_193,31_4_,A. fascicularis,RB1,M,0.2474645,0.639677771,980.6216947,left,1.997176687,low,23,42.63572586,greenhouse
32A_1_fasc,32A_1,A. fascicularis,EJ4,F,0.33186813,NA,NA,NA,NA,low,NA,NA,greenhouse
36_1_fasc_169,36_1_,A. fascicularis,UL4,F,0.087108,0.782321057,953.5249747,right,1.864153444,low,NA,NA,greenhouse
39_2_fasc_167,39_2_,A. fascicularis,EJ6,M,0.31422018,0.594103174,874.0484311,right,1.86543653,low,19,46.00254901,greenhouse
39_3_fasc_344,39_3_,A. fascicularis,RB4,M,0.29692833,0.609225338,913.7974556,right,1.926181584,low,22,41.53624798,greenhouse
43_1_fasc_74,43_1_,A. fascicularis,RB7,M,0.22772277,0.578841257,892.449828,right,2.039809972,low,21,42.49761086,greenhouse
59_3_fasc_71,59_3_,A. fascicularis,UL1,F,0.30574713,0.7526362,840.9230493,right,1.849962272,low,20,42.04615247,greenhouse
7_1_fasc,7_1_f,A. fascicularis,EJ6,NA,0.21748401,NA,NA,NA,NA,low,NA,NA,greenhouse
7_2_fasc_481,7_2_f,A. fascicularis,EJ6,F,0.2704918,0.670905978,975.675468,left,1.909092886,low,NA,NA,greenhouse
7_3_fasc_78,7_3_f,A. fascicularis,RB7,M,NA,0.567204993,975.1880138,right,1.914249441,low,21,46.43752447,greenhouse
72_1_fasc_139,72_1_,A. fascicularis,EJ7,M,NA,0.635009184,944.4712293,right,1.970169357,low,24,39.35296789,greenhouse
95_2_fasc_521,95_2_,A. fascicularis,EJ4,F,NA,0.735523045,925.5823782,right,1.924857678,low,20,46.27911891,greenhouse
95_4_fasic,95_4_,A. fascicularis,RB8,NA,0.07177033,NA,NA,NA,NA,low,NA,NA,greenhouse
101_1_inc_505,101_1,A. incarnata,RB4,M,0.26915521,0.592434952,938.0984822,right,1.943312032,low,NA,NA,greenhouse
101_3_inc_396,101_3,A. incarnata,EJ6,F,0.30188679,0.699882518,811.5324271,right,1.99454789,low,23,35.28401857,greenhouse
101_4_inc_20,101_4,A. incarnata,UL1,M,0.33272395,0.608309335,816.4571484,left,1.870211064,low,21,38.87891183,greenhouse
101_5_inc_399,101_5,A. incarnata,EJ6,M,0.33172303,0.62101783,893.3172098,right,1.960355329,low,23,38.83987869,greenhouse
101_6_inc_255,101_6,A. incarnata,UL4,F,0.50984252,0.759596234,896.2204298,right,1.896231473,low,23,38.96610564,greenhouse
102_2_inc_572,102_2,A. incarnata,UL1,M,0.45056726,0.574433429,915.3960187,right,1.906946249,low,NA,NA,greenhouse
99_2_inc_98,99_2_,A. incarnata,AT1,F,0.31337325,0.79429202,889.9050302,right,1.890684002,low,22,40.45022865,greenhouse
99_3_inc_107,99_3_,A. incarnata,EJ7,F,0.332,0.701844406,871.7616973,right,1.917397954,low,21,41.51246178,greenhouse
99_4_inc_35,99_4_,A. incarnata,UL1,F,0.42054264,0.766972785,854.7294733,right,1.855252479,low,25,34.18917893,greenhouse
99_5_inc_484,99_5_,A. incarnata,EJ4,F,NA,0.844865191,844.6793142,right,1.889706342,low,22,38.39451428,greenhouse
99_6_inc_471,99_6_,A. incarnata,RB2,M,0.33072407,0.614727578,910.5859924,left,1.961225296,low,21,43.36123773,greenhouse
99_7_inc_657,99_7_,A. incarnata,RB12,M,0.26407767,0.589602724,964.2704729,right,1.916177709,low,23,41.92480317,greenhouse
99_8_inc,99_8_,A. incarnata,EJ6,NA,0.37596899,NA,NA,NA,NA,low,NA,NA,greenhouse
208_10_lab_496,208_1,A. labriformis,RB1,M,0.3010101,0.609326689,955.2095591,right,1.928687496,high,21,45.48616948,greenhouse
208_2_labr_164,208_2,A. labriformis,EJ6,F,0.35262206,0.729872222,978.9586156,right,1.97942275,high,21,46.61707693,greenhouse
208_3_labr_40,208_3,A. labriformis,UL1,M,0.3812825,0.619052249,884.643392,right,1.90180111,high,23,38.46275617,greenhouse
208_4_labr_235,208_4,A. labriformis,RB2,F,0.09106529,0.782753404,923.9766467,left,1.953990294,high,20,46.19883234,greenhouse
208_5_labr_166,208_5,A. labriformis,EJ6,F,0.31484794,0.753090312,977.7328116,right,1.978334623,high,22,44.44240053,greenhouse
208_6_labr_X1,208_6,A. labriformis,EJ4,NA,0.26545455,0.626938282,770.64362,left,2.206782559,high,NA,NA,greenhouse
208_7_labr_633,208_7,A. labriformis,RB4,M,0.20377358,0.647529999,930.7364898,right,1.907689286,high,21,44.32078523,greenhouse
208_8_labr_634,208_8,A. labriformis,RB12,F,0.40285205,0.747429633,956.5859004,right,1.975283727,high,22,43.48117729,greenhouse
208_9_labr,208_9,A. labriformis,AT1,NA,0.29173693,NA,NA,NA,NA,high,NA,NA,greenhouse
116_1_spec_327,116_1,A. speciosa,EJ6,M,0.61266294,NA,NA,left,2.336044495,med,26,NA,greenhouse
117_1_spec_643,117_1,A. speciosa,EJ4,M,0.42380952,0.603913997,764.8300116,left,1.822852693,med,26,29.41653891,greenhouse
118_1_spec_106,118_1,A. speciosa,RB8,M,0.18699187,0.631400041,879.3889222,left,1.911773508,med,22,39.97222374,greenhouse
119.1_2_spec_278,119.1,A. speciosa,AT1,F,NA,0.726081605,920.2418871,right,1.9042173,med,27,34.08303286,greenhouse
120_1_spec_292,120_1,A. speciosa,UL4,F,0.34022556,0.703061659,1043.309741,left,1.866194234,med,NA,NA,greenhouse
122_1_spec_136,122_1,A. speciosa,AT1,F,0.22291994,0.745282343,900.6792022,right,1.912183738,med,22,40.93996374,greenhouse
122_2_spec_162,122_2,A. speciosa,UL4,F,NA,0.74856369,894.6146982,left,1.935880898,med,22,40.66430446,greenhouse
191_1_spec_41,191_1,A. speciosa,RB7,M,0.32244009,0.58987781,946.2848458,right,1.939569401,med,23,41.14281938,greenhouse
191_2_spec_154,191_2,A. speciosa,EJ7,F,0.2614897,0.683972168,1000.363591,right,1.944355088,med,NA,NA,greenhouse
198_3_spec,198_3,A. speciosa,UL4,NA,0.25271318,NA,NA,NA,NA,med,NA,NA,greenhouse
202_4_spec_476,202_4,A. speciosa,RB12,F,0.29104478,0.794071167,957.1091969,right,1.990861924,med,22,43.5049635,greenhouse
202_6_spec,202_6,A. speciosa,EJ7,NA,0.27190332,NA,NA,NA,NA,med,NA,NA,greenhouse
202_8_spec,202_8,A. speciosa,RB7,NA,0.40917431,NA,NA,NA,NA,med,NA,NA,greenhouse
203_2_spec_163,203_2,A. speciosa,RB1,F,NA,0.756874379,915.8189569,right,1.995445804,med,23,39.81821552,greenhouse
203_3_spec_548,203_3,A. speciosa,RB1,F,0.43148148,0.680875693,916.5071276,left,1.852049571,med,23,39.84813598,greenhouse
203_5_spec_529,203_5,A. speciosa,EJ6,F,NA,0.702340219,888.3136356,right,1.965734531,med,22,40.37789253,greenhouse
21.2_2_spec_81,21.2_,A. speciosa,RB1,F,0.37468354,0.731994803,838.6649893,right,1.995457811,med,26,32.25634574,greenhouse
30B2_3_spec_226,30B2_,A. speciosa,EJ6,M,NA,0.63501135,713.7046658,right,2.160441803,med,24,29.73769441,greenhouse
30D1_4_spec_135,30D1_,A. speciosa,AT1,M,0.35940803,0.597076206,1009.144935,right,1.92964917,med,24,42.04770563,greenhouse
32.3_1_spec_249,32.3_,A. speciosa,EJ7,F,0.1580756,0.745450205,900.8225711,right,1.888406631,med,24,37.5342738,greenhouse
6_5_spec_398,6_5_s,A. speciosa,RB12,M,0.37781109,0.637627009,909.3960307,right,1.917840234,med,22,41.33618321,greenhouse
128_1_syr_459,128_1,A. syriaca,RB1,M,0.26523297,0.638127641,1036.621583,right,1.854693901,med,24,43.19256596,greenhouse
128_3_syr_161,128_3,A. syriaca,RB7,M,0.41434263,0.636117681,884.9588036,left,2.006275599,med,24,36.87328348,greenhouse
128_4_syr_558,128_4,A. syriaca,RB4,M,0.24084778,0.604266005,902.0197013,right,1.945461729,med,22,41.00089551,greenhouse
128_5_syr_192,128_5,A. syriaca,EJ4,M,0.27480916,0.64495514,974.7650756,left,1.971613751,med,20,48.73825378,greenhouse
128_6_syr_600,128_6,A. syriaca,EJ6,F,0.28849558,0.706848491,977.2166836,right,1.889376947,med,24,40.71736182,greenhouse
130_3_syr,130_3,A. syriaca,RB1,NA,0.27255985,NA,NA,NA,NA,med,NA,NA,greenhouse
131_1_syr_349,131_1,A. syriaca,RB2,M,0.22720247,0.638049767,950.385196,right,1.906265059,med,23,41.32109548,greenhouse
132_1_syr_138,132_1,A. syriaca,EJ7,M,0.125,0.625517739,884.3924964,right,1.918402811,med,22,40.19965893,greenhouse
133_1_syr,133_1,A. syriaca,AT1,F,0.23529412,NA,NA,NA,NA,med,22,NA,greenhouse
136_1_syr_689,136_1,A. syriaca,RB4,M,0.21064815,0.629244682,934.5429338,right,1.900011643,med,23,40.63230147,greenhouse
139_1_tuber_225,139_1,A. tuberosa,EJ4,M,0.35823171,0.646447721,941.1880818,right,1.865729864,low,21,44.81848009,greenhouse
139_3_tub_535,139_3,A. tuberosa,EJ6,M,0.32163743,0.613155628,898.7508907,right,1.918094822,low,22,40.85231321,greenhouse
139_3_tub_616,139_3,A. tuberosa,EJ6,M,0.378119,0.626081668,931.1235858,right,1.891861265,low,24,38.79681608,greenhouse
139_4_tuber_328,139_4,A. tuberosa,RB2,M,0.35547576,0.644864647,997.3385071,left,1.93682566,low,22,45.3335685,greenhouse
139_5_tuber_8,139_5,A. tuberosa,UL1,F,NA,0.708198261,961.9120547,left,1.798622234,low,NA,NA,greenhouse
141_1_tub_473,141_1,A. tuberosa,RB4,F,0.22300885,0.717422434,961.1450311,right,1.978865207,low,20,48.05725156,greenhouse
141_2_tuber,141_2,A. tuberosa,RB1,NA,0.29514563,NA,NA,NA,NA,low,NA,NA,greenhouse
141_3_tuber,141_3,A. tuberosa,EJ7,NA,0.3464837,NA,NA,NA,NA,low,NA,NA,greenhouse
141_4_tuber,141_4,A. tuberosa,UL4,NA,0.5254833,NA,NA,NA,NA,low,NA,NA,greenhouse
141_5_tub,141_5,A. tuberosa,AT1,M,0.33103448,NA,NA,NA,NA,low,NA,NA,greenhouse
144_3_vert2,144_3,A. verticillata,RB1,NA,0.28813559,NA,NA,NA,NA,low,NA,NA,greenhouse
168_1_vert_160,168_1,A. verticillata,EJ6,M,0.39933993,0.651328053,880.6362316,left,1.955964232,low,22,40.02891962,greenhouse
168_2_vert_103,168_2,A. verticillata,RB7,F,0.32392027,0.695560861,873.7831987,right,1.894921401,low,22,39.71741812,greenhouse
168_3_vert_36,168_3,A. verticillata,UL1,M,0.338,0.57845582,767.546852,left,2.014015819,low,22,34.88849327,greenhouse
169_2_vert_194,169_2,A. verticillata,RB7,M,0.22326454,0.596985113,879.2670587,right,2.007304509,low,22,39.96668449,greenhouse
169_4_vert_456,169_4,A. verticillata,RB12,F,0.24734982,0.716973258,876.0125849,left,1.974898035,low,20,43.80062925,greenhouse
169_bulk_vert,169_b,A. verticillata,EJ7,NA,0.31277533,NA,NA,NA,NA,low,NA,NA,greenhouse
159_1_G.phy_65,159_1,G. physocarpus,AT1,M,0.256,0.599941057,972.9371222,right,1.898041172,high,21,46.33033915,greenhouse
159_10_G.phy_191,159_1,G. physocarpus,RB1,M,0.24247227,0.652322193,924.8440284,right,1.977738352,high,23,40.21060993,greenhouse
159_2_G.phy_75,159_2,G. physocarpus,RB7,F,0.1814346,0.762854761,842.6076338,right,1.96221319,high,21,40.12417304,greenhouse
159_3_G.phy_77,159_3,G. physocarpus,UL1,M,0.34396355,0.628296181,843.8119324,right,1.847509381,high,22,38.35508784,greenhouse
159_4_G.phy_101,159_4,G. physocarpus,EJ6,F,0.26666667,0.764126809,829.4033591,right,1.933311782,high,20,41.47016796,greenhouse
159_5_G_phy,159_5,G. physocarpus,UL4,NA,0.16464471,NA,NA,NA,NA,high,NA,NA,greenhouse
159_6_G.phy_31,159_6,G. physocarpus,RB1,M,0.29501085,0.606338923,953.7687018,left,1.899952234,high,22,43.35312281,greenhouse
159_7_G_phy,159_7,G. physocarpus,AT1,NA,0.3127572,NA,NA,NA,NA,high,NA,NA,greenhouse
159_8_G_phy,159_8,G. physocarpus,EJ7,NA,0.3690205,NA,NA,NA,NA,high,NA,NA,greenhouse
159_9_G.phy_228,159_9,G. physocarpus,EJ4,F,NA,0.778950902,854.1201556,left,1.943554249,high,19,44.9536924,greenhouse
